1571827153.644689	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.645493	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000b0) with progress BucketId(0x0000000000000000)
1571827153.646323	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.646952	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000070) with progress BucketId(0x0000000000000000)
1571827153.647836	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.648799	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000f0) with progress BucketId(0x0000000000000000)
1571827153.649908	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.650675	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000008) with progress BucketId(0x0000000000000000)
1571827153.651483	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.652106	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000088) with progress BucketId(0x0000000000000000)
1571827153.652835	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.653505	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000048) with progress BucketId(0x0000000000000000)
1571827153.654251	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
